antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'flow_Link_23__flow_Link_23__(475.546, 1129.68]']",class__1.0,0.004,0.032,-0.936,0.119
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_23__flow_Link_23__(1129.68, 1780.56]']",class__1.0,0.005,0.046,-0.906,0.113
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_23__flow_Link_23__(1780.56, 2431.44]']",class__1.0,0.004,1.0,0.563,0.004
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_23__flow_Link_23__(2431.44, 3082.32]']",class__1.0,0.089,1.0,0.615,0.089
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_23__flow_Link_23__(3082.32, 3733.2]']",class__1.0,0.0,1.0,0.56,0.0
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_23__flow_Link_23__(475.546, 1129.68]']",class__1.0,0.001,0.01,-0.979,0.059
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_23__flow_Link_23__(1129.68, 1780.56]']",class__1.0,0.005,0.022,-0.961,0.229
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_23__flow_Link_23__(1780.56, 2431.44]']",class__1.0,0.001,0.097,-0.781,0.011
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_23__flow_Link_23__(2431.44, 3082.32]']",class__1.0,0.102,1.0,0.624,0.102
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_23__flow_Link_23__(3082.32, 3733.2]']",class__1.0,0.074,1.0,0.605,0.074
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_23__flow_Link_23__(475.546, 1129.68]']",class__1.0,0.0,0.0,0.0,0.0
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_23__flow_Link_23__(1129.68, 1780.56]']",class__1.0,0.0,0.0,-1.0,0.012
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_23__flow_Link_23__(1780.56, 2431.44]']",class__1.0,0.0,0.003,-0.994,0.032
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_23__flow_Link_23__(3082.32, 3733.2]']",class__1.0,0.08,1.0,0.609,0.08
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_11__flow_Link_11__(148.37, 717.12]']",class__1.0,0.093,0.359,-0.234,0.26
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_11__flow_Link_11__(148.37, 717.12]']",class__1.0,0.175,0.429,-0.041,0.409
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_11__flow_Link_11__(148.37, 717.12]']",class__1.0,0.081,0.648,0.368,0.125
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'demand_Node_3__demand_Node_3__(151.92, 224.64]']",class__1.0,0.004,0.317,-0.281,0.014
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_3__demand_Node_3__(151.92, 224.64]']",class__1.0,0.063,0.392,-0.127,0.16
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_3__demand_Node_3__(224.64, 297.36]']",class__1.0,0.026,0.296,-0.347,0.088
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_3__demand_Node_3__(297.36, 370.08]']",class__1.0,0.0,0.0,0.0,0.0
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'demand_Node_3__demand_Node_3__(151.92, 224.64]']",class__1.0,0.007,0.429,-0.026,0.016
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'demand_Node_3__demand_Node_3__(224.64, 297.36]']",class__1.0,0.132,0.407,-0.105,0.325
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'demand_Node_3__demand_Node_3__(297.36, 370.08]']",class__1.0,0.042,0.57,0.246,0.074
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'demand_Node_3__demand_Node_3__(151.92, 224.64]']",class__1.0,0.0,0.0,0.0,0.0
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'demand_Node_3__demand_Node_3__(224.64, 297.36]']",class__1.0,0.012,0.583,0.251,0.021
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'demand_Node_3__demand_Node_3__(297.36, 370.08]']",class__1.0,0.063,0.655,0.363,0.096
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'demand_Node_22__demand_Node_22__(42.998, 83.52]']",class__1.0,0.068,0.38,-0.16,0.18
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'demand_Node_22__demand_Node_22__(83.52, 123.84]']",class__1.0,0.002,0.333,-0.243,0.006
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_22__demand_Node_22__(123.84, 164.16]']",class__1.0,0.014,0.345,-0.222,0.041
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_22__demand_Node_22__(164.16, 204.48]']",class__1.0,0.0,0.0,0.0,0.0
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_22__demand_Node_22__(42.998, 83.52]']",class__1.0,0.016,0.487,0.101,0.032
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_22__demand_Node_22__(83.52, 123.84]']",class__1.0,0.069,0.359,-0.217,0.192
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'demand_Node_22__demand_Node_22__(123.84, 164.16]']",class__1.0,0.147,0.438,-0.006,0.337
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'demand_Node_22__demand_Node_22__(164.16, 204.48]']",class__1.0,0.017,0.678,0.36,0.025
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'demand_Node_22__demand_Node_22__(83.52, 123.84]']",class__1.0,0.017,0.321,-0.282,0.053
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'demand_Node_22__demand_Node_22__(123.84, 164.16]']",class__1.0,0.025,0.526,0.173,0.048
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'demand_Node_22__demand_Node_22__(164.16, 204.48]']",class__1.0,0.054,0.718,0.419,0.075
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'demand_Node_22__demand_Node_22__(83.52, 123.84]']",class__1.0,0.0,0.667,0.34,0.0
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'flow_Link_2__flow_Link_2__(3857.04, 5672.88]']",class__1.0,0.069,0.979,0.593,0.07
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_2__flow_Link_2__(3857.04, 5672.88]']",class__1.0,0.022,0.142,-0.713,0.156
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_2__flow_Link_2__(5672.88, 7488.72]']",class__1.0,0.07,0.871,0.538,0.08
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_2__flow_Link_2__(7488.72, 9304.56]']",class__1.0,0.007,1.0,0.564,0.007
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_2__flow_Link_2__(3857.04, 5672.88]']",class__1.0,0.0,0.0,-1.0,0.047
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_2__flow_Link_2__(5672.88, 7488.72]']",class__1.0,0.031,0.145,-0.722,0.217
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_2__flow_Link_2__(7488.72, 9304.56]']",class__1.0,0.149,0.99,0.655,0.151
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_2__flow_Link_2__(3857.04, 5672.88]']",class__1.0,0.0,0.0,0.0,0.0
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_2__flow_Link_2__(5672.88, 7488.72]']",class__1.0,0.0,0.0,-1.0,0.029
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_2__flow_Link_2__(7488.72, 9304.56]']",class__1.0,0.054,0.785,0.472,0.069
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_18__demand_Node_18__(249.12, 383.04]']",class__1.0,0.067,0.383,-0.152,0.174
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_18__demand_Node_18__(383.04, 516.96]']",class__1.0,0.021,0.296,-0.343,0.072
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_18__demand_Node_18__(516.96, 650.88]']",class__1.0,0.0,1.0,0.56,0.0
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'demand_Node_18__demand_Node_18__(249.12, 383.04]']",class__1.0,0.008,0.367,-0.169,0.02
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'demand_Node_18__demand_Node_18__(383.04, 516.96]']",class__1.0,0.135,0.407,-0.106,0.331
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'demand_Node_18__demand_Node_18__(516.96, 650.88]']",class__1.0,0.039,0.617,0.306,0.064
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'demand_Node_18__demand_Node_18__(249.12, 383.04]']",class__1.0,0.0,0.0,0.0,0.0
